PUML Macro (Name),PUML IMPORT
ApplicationLoadBalancer,!include <aws/Compute/ElasticLoadBalancing/ApplicationLoadBalancer/ApplicationLoadBalancer>
ApplicationLoadBalancing,!include <aws/Compute/ElasticLoadBalancing/ApplicationLoadBalancing/ApplicationLoadBalancing>
ClassicLoadbalancer,!include <aws/Compute/ElasticLoadBalancing/ClassicLoadbalancer/ClassicLoadbalancer>
AmazonConnect,!include <aws/ContactCenter/AmazonConnect/AmazonConnect>
AmazonDynamoDB,!include <aws/Database/AmazonDynamoDB/AmazonDynamoDB>
attribute,!include <aws/Database/AmazonDynamoDB/attribute/attribute>
attributes,!include <aws/Database/AmazonDynamoDB/attributes/attributes>
globalsecondaryindex,!include <aws/Database/AmazonDynamoDB/globalsecondaryindex/globalsecondaryindex>
item,!include <aws/Database/AmazonDynamoDB/item/item>
items,!include <aws/Database/AmazonDynamoDB/items/items>
table,!include <aws/Database/AmazonDynamoDB/table/table>
AmazonDynamoDBAccelerator,!include <aws/Database/AmazonDynamoDBAccelerator/AmazonDynamoDBAccelerator>
AmazonElasticCache,!include <aws/Database/AmazonElasticCache/AmazonElasticCache>
cachenode,!include <aws/Database/AmazonElasticCache/cachenode/cachenode>
Memcached,!include <aws/Database/AmazonElasticCache/Memcached/Memcached>
Redis,!include <aws/Database/AmazonElasticCache/Redis/Redis>
AmazonRDS,!include <aws/Database/AmazonRDS/AmazonRDS>
DBinstance,!include <aws/Database/AmazonRDS/DBinstance/DBinstance>
instancereadreplica,!include <aws/Database/AmazonRDS/instancereadreplica/instancereadreplica>
instancestandby,!include <aws/Database/AmazonRDS/instancestandby/instancestandby>
MSSQLinstance,!include <aws/Database/AmazonRDS/MSSQLinstance/MSSQLinstance>
MSSQLinstancealternate,!include <aws/Database/AmazonRDS/MSSQLinstancealternate/MSSQLinstancealternate>
MySQLDBinstance,!include <aws/Database/AmazonRDS/MySQLDBinstance/MySQLDBinstance>
MySQLinstancealternate,!include <aws/Database/AmazonRDS/MySQLinstancealternate/MySQLinstancealternate>
oracleDBinstance,!include <aws/Database/AmazonRDS/oracleDBinstance/oracleDBinstance>
OracleDBinstancealternate,!include <aws/Database/AmazonRDS/OracleDBinstancealternate/OracleDBinstancealternate>
PIOP,!include <aws/Database/AmazonRDS/PIOP/PIOP>
PostgreSQLinstance,!include <aws/Database/AmazonRDS/PostgreSQLinstance/PostgreSQLinstance>
SQLmaster,!include <aws/Database/AmazonRDS/SQLmaster/SQLmaster>
SQLslave,!include <aws/Database/AmazonRDS/SQLslave/SQLslave>
AWSDMS,!include <aws/Database/AWSDMS/AWSDMS>
databasemigrationworkflowjob,!include <aws/Database/AWSDMS/databasemigrationworkflowjob/databasemigrationworkflowjob>
AmazonAppStream2_0,!include <aws/DesktopAppStreaming/AmazonAppStream2_0/AmazonAppStream2_0>
AmazonWorkSpaces,!include <aws/DesktopAppStreaming/AmazonWorkSpaces/AmazonWorkSpaces>
AWSCodeBuild,!include <aws/DeveloperTools/AWSCodeBuild/AWSCodeBuild>
AWSCodeCommit,!include <aws/DeveloperTools/AWSCodeCommit/AWSCodeCommit>
AWSCodeDeploy,!include <aws/DeveloperTools/AWSCodeDeploy/AWSCodeDeploy>
AWSCodePipeline,!include <aws/DeveloperTools/AWSCodePipeline/AWSCodePipeline>
AWSCodeStar,!include <aws/DeveloperTools/AWSCodeStar/AWSCodeStar>
AWSX_Ray,!include <aws/DeveloperTools/AWSX_Ray/AWSX_Ray>
AmazonGameLift,!include <aws/GameDevelopment/AmazonGameLift/AmazonGameLift>
AWScloud,!include <aws/General/AWScloud/AWScloud>
AWSManagementConsole,!include <aws/General/AWSManagementConsole/AWSManagementConsole>
client,!include <aws/General/client/client>
corporatedatacenter,!include <aws/General/corporatedatacenter/corporatedatacenter>
disk,!include <aws/General/disk/disk>
forums,!include <aws/General/forums/forums>
genericdatabase,!include <aws/General/genericdatabase/genericdatabase>
Internet,!include <aws/General/Internet/Internet>
Internetalternate1,!include <aws/General/Internetalternate1/Internetalternate1>
Internetalternate2,!include <aws/General/Internetalternate2/Internetalternate2>
mobileclient,!include <aws/General/mobileclient/mobileclient>
multimedia,!include <aws/General/multimedia/multimedia>
officebuilding,!include <aws/General/officebuilding/officebuilding>
SAMLtoken,!include <aws/General/SAMLtoken/SAMLtoken>
SSLpadlock,!include <aws/General/SSLpadlock/SSLpadlock>
tapestorage,!include <aws/General/tapestorage/tapestorage>
traditionalserver,!include <aws/General/traditionalserver/traditionalserver>
user,!include <aws/General/user/user>
users,!include <aws/General/users/users>
virtualprivatecloud,!include <aws/General/virtualprivatecloud/virtualprivatecloud>
AWSIoT,!include <aws/InternetOfThings/AWSIoT/AWSIoT>
action,!include <aws/InternetOfThings/AWSIoT/action/action>
actuator,!include <aws/InternetOfThings/AWSIoT/actuator/actuator>
alexaskill,!include <aws/InternetOfThings/AWSIoT/alexaskill/alexaskill>
alexasmarthomeskill,!include <aws/InternetOfThings/AWSIoT/alexasmarthomeskill/alexasmarthomeskill>
alexavoiceservice,!include <aws/InternetOfThings/AWSIoT/alexavoiceservice/alexavoiceservice>
AVSenableddevice,!include <aws/InternetOfThings/AWSIoT/AVSenableddevice/AVSenableddevice>
AWSGreengrass,!include <aws/InternetOfThings/AWSIoT/AWSGreengrass/AWSGreengrass>
certificate,!include <aws/InternetOfThings/AWSIoT/certificate/certificate>
desiredstate,!include <aws/InternetOfThings/AWSIoT/desiredstate/desiredstate>
echo,!include <aws/InternetOfThings/AWSIoT/echo/echo>
fireTV,!include <aws/InternetOfThings/AWSIoT/fireTV/fireTV>
fireTVstick,!include <aws/InternetOfThings/AWSIoT/fireTVstick/fireTVstick>
hardwareboard,!include <aws/InternetOfThings/AWSIoT/hardwareboard/hardwareboard>
HTTP2protocol,!include <aws/InternetOfThings/AWSIoT/HTTP2protocol/HTTP2protocol>
HTTPprotocol,!include <aws/InternetOfThings/AWSIoT/HTTPprotocol/HTTPprotocol>
lambdafunction,!include <aws/InternetOfThings/AWSIoT/lambdafunction/lambdafunction>
MQTTprotocol,!include <aws/InternetOfThings/AWSIoT/MQTTprotocol/MQTTprotocol>
policy,!include <aws/InternetOfThings/AWSIoT/policy/policy>
reportedstate,!include <aws/InternetOfThings/AWSIoT/reportedstate/reportedstate>
rule,!include <aws/InternetOfThings/AWSIoT/rule/rule>
sensor,!include <aws/InternetOfThings/AWSIoT/sensor/sensor>
servo,!include <aws/InternetOfThings/AWSIoT/servo/servo>
shadow,!include <aws/InternetOfThings/AWSIoT/shadow/shadow>
simulator,!include <aws/InternetOfThings/AWSIoT/simulator/simulator>
thingbank,!include <aws/InternetOfThings/AWSIoT/thingbank/thingbank>
thingbicycle,!include <aws/InternetOfThings/AWSIoT/thingbicycle/thingbicycle>
thingcamera,!include <aws/InternetOfThings/AWSIoT/thingcamera/thingcamera>
thingcar,!include <aws/InternetOfThings/AWSIoT/thingcar/thingcar>
thingcart,!include <aws/InternetOfThings/AWSIoT/thingcart/thingcart>
thingcoffeepot,!include <aws/InternetOfThings/AWSIoT/thingcoffeepot/thingcoffeepot>
thingdoorlock,!include <aws/InternetOfThings/AWSIoT/thingdoorlock/thingdoorlock>
thingfactory,!include <aws/InternetOfThings/AWSIoT/thingfactory/thingfactory>
thinggeneric,!include <aws/InternetOfThings/AWSIoT/thinggeneric/thinggeneric>
thinghouse,!include <aws/InternetOfThings/AWSIoT/thinghouse/thinghouse>
thinglightbulb,!include <aws/InternetOfThings/AWSIoT/thinglightbulb/thinglightbulb>
thingmedicalemergency,!include <aws/InternetOfThings/AWSIoT/thingmedicalemergency/thingmedicalemergency>
thingpoliceemergency,!include <aws/InternetOfThings/AWSIoT/thingpoliceemergency/thingpoliceemergency>
thingthermostat,!include <aws/InternetOfThings/AWSIoT/thingthermostat/thingthermostat>
thingtravel,!include <aws/InternetOfThings/AWSIoT/thingtravel/thingtravel>
thingutility,!include <aws/InternetOfThings/AWSIoT/thingutility/thingutility>
thingwindfarm,!include <aws/InternetOfThings/AWSIoT/thingwindfarm/thingwindfarm>
topic,!include <aws/InternetOfThings/AWSIoT/topic/topic>
AmazonCloudWatch,!include <aws/ManagementTools/AmazonCloudWatch/AmazonCloudWatch>
alarm,!include <aws/ManagementTools/AmazonCloudWatch/alarm/alarm>
eventeventbased,!include <aws/ManagementTools/AmazonCloudWatch/eventeventbased/eventeventbased>
eventtimebased,!include <aws/ManagementTools/AmazonCloudWatch/eventtimebased/eventtimebased>
AmazonEC2SystemsManager,!include <aws/ManagementTools/AmazonEC2SystemsManager/AmazonEC2SystemsManager>
Automation,!include <aws/ManagementTools/AmazonEC2SystemsManager/Automation/Automation>
documents,!include <aws/ManagementTools/AmazonEC2SystemsManager/documents/documents>
Inventory,!include <aws/ManagementTools/AmazonEC2SystemsManager/Inventory/Inventory>
MaintenanceWindow,!include <aws/ManagementTools/AmazonEC2SystemsManager/MaintenanceWindow/MaintenanceWindow>
ParameterStore,!include <aws/ManagementTools/AmazonEC2SystemsManager/ParameterStore/ParameterStore>
PatchManager,!include <aws/ManagementTools/AmazonEC2SystemsManager/PatchManager/PatchManager>
RunCommand,!include <aws/ManagementTools/AmazonEC2SystemsManager/RunCommand/RunCommand>
StateManager,!include <aws/ManagementTools/AmazonEC2SystemsManager/StateManager/StateManager>
AWSCloudFormation,!include <aws/ManagementTools/AWSCloudFormation/AWSCloudFormation>
changeset,!include <aws/ManagementTools/AWSCloudFormation/changeset/changeset>
stack,!include <aws/ManagementTools/AWSCloudFormation/stack/stack>
template,!include <aws/ManagementTools/AWSCloudFormation/template/template>
AWSCloudTrail,!include <aws/ManagementTools/AWSCloudTrail/AWSCloudTrail>
