PUML Macro (Name),PUML IMPORT
Cloud_DNS,!include <gcp/Networking/Cloud_DNS>
Cloud_External_IP_Addresses,!include <gcp/Networking/Cloud_External_IP_Addresses>
Cloud_Firewall_Rules,!include <gcp/Networking/Cloud_Firewall_Rules>
Cloud_Load_Balancing,!include <gcp/Networking/Cloud_Load_Balancing>
Cloud_NAT,!include <gcp/Networking/Cloud_NAT>
Cloud_Network,!include <gcp/Networking/Cloud_Network>
Cloud_Router,!include <gcp/Networking/Cloud_Router>
Cloud_Routes,!include <gcp/Networking/Cloud_Routes>
Cloud_VPN,!include <gcp/Networking/Cloud_VPN>
Dedicated_Interconnect,!include <gcp/Networking/Dedicated_Interconnect>
Partner_Interconnect,!include <gcp/Networking/Partner_Interconnect>
Premium_Network_Tier,!include <gcp/Networking/Premium_Network_Tier>
Standard_Network_Tier,!include <gcp/Networking/Standard_Network_Tier>
Traffic_Director,!include <gcp/Networking/Traffic_Director>
Virtual_Private_Cloud,!include <gcp/Networking/Virtual_Private_Cloud>
Cloud_IAM,!include <gcp/Security/Cloud_IAM>
Cloud_Resource_Manager,!include <gcp/Security/Cloud_Resource_Manager>
Cloud_Security_Command_Center,!include <gcp/Security/Cloud_Security_Command_Center>
Cloud_Security_Scanner,!include <gcp/Security/Cloud_Security_Scanner>
Key_Management_Service,!include <gcp/Security/Key_Management_Service>
Cloud_Filestore,!include <gcp/Storage/Cloud_Filestore>
Cloud_Storage,!include <gcp/Storage/Cloud_Storage>
Persistent_Disk,!include <gcp/Storage/Persistent_Disk>
